Page ascore,Source title,Source url,Target url,Anchor,External links,Internal links,Nofollow,Sponsored,Ugc,Text,Frame,Form,Image,Sitewide,First seen,Last seen,New link,Lost link
0,poll worker login,https://registrationhelper.com/post/poll-worker-login,https://indy.pollchief.com/pollaccess/,website screenshot,20,75,true,false,false,false,false,false,true,false,2022-05-09,2022-07-19,false,false
0,Be a Poll Worker in Indiana - Apply Here! - Save Your Republic,https://saveyourrepublic.org/indiana/,https://indy.pollchief.com/pollaccess/Application.aspx,Application,9,25,false,false,false,true,false,false,false,false,2022-08-26,2022-08-26,true,false
0,chicago poll worker connection login,https://servelogin.com/post/chicago-poll-worker-connection-login,https://indy.pollchief.com/pollaccess/Login.aspx,website screenshot,20,75,true,false,false,false,false,false,true,false,2022-03-25,2022-08-18,false,false
0,chicago poll worker connection login,https://servelogin.com/post/chicago-poll-worker-connection-login,https://indy.pollchief.com/pollaccess/Login.aspx,Election Worker Access - PollChief - Login,20,75,true,false,false,true,false,false,false,false,2022-03-25,2022-08-18,false,false
0,poll worker login,https://servelogin.com/post/poll-worker-login,https://indy.pollchief.com/pollaccess/Login.aspx,website screenshot,20,75,true,false,false,false,false,false,true,false,2022-05-05,2022-07-19,false,false
0,poll worker login,https://servelogin.com/post/poll-worker-login,https://indy.pollchief.com/pollaccess/Login.aspx,Poll Worker Portal - PollChief - Login,20,75,true,false,false,true,false,false,false,false,2022-05-05,2022-07-19,false,false
0,poll worker login,https://servelogin.com/post/poll-worker-login,https://indy.pollchief.com/pollaccess/,website screenshot,20,75,true,false,false,false,false,false,true,false,2022-05-05,2022-07-19,false,false
0,poll worker login,https://servelogin.com/post/poll-worker-login,https://indy.pollchief.com/pollaccess/,POLL WORKER PORTAL - PollChief - Login,20,75,true,false,false,true,false,false,false,false,2022-05-05,2022-07-19,false,false
0,Similar Sites like pollchief.com & Alternatives,https://sites-like.com/similar/pollchief.com,http://pollchief.com/,pollchief.com,1,48,true,false,false,true,false,false,false,false,2022-03-10,2022-08-02,false,true
0,chicago poll worker connection login,https://suggestlogin.com/post/chicago-poll-worker-connection-login,https://indy.pollchief.com/pollaccess/Login.aspx,website screenshot,20,75,true,false,false,false,false,false,true,false,2022-03-06,2022-07-21,false,false
0,chicago poll worker connection login,https://suggestlogin.com/post/chicago-poll-worker-connection-login,https://indy.pollchief.com/pollaccess/Login.aspx,Election Worker Access - PollChief - Login,20,75,true,false,false,true,false,false,false,false,2022-03-06,2022-07-21,false,false
0,poll worker login,https://suggestlogin.com/post/poll-worker-login,https://indy.pollchief.com/pollaccess/Login.aspx,website screenshot,20,75,true,false,false,false,false,false,true,false,2022-03-31,2022-08-23,false,false
0,poll worker login,https://suggestlogin.com/post/poll-worker-login,https://indy.pollchief.com/pollaccess/Login.aspx,Poll Worker Portal - PollChief - Login,20,75,true,false,false,true,false,false,false,false,2022-03-31,2022-08-23,false,false
0,poll worker login,https://suggestlogin.com/post/poll-worker-login,https://indy.pollchief.com/pollaccess/,website screenshot,20,75,true,false,false,false,false,false,true,false,2022-03-31,2022-08-23,false,false
0,poll worker login,https://suggestlogin.com/post/poll-worker-login,https://indy.pollchief.com/pollaccess/,POLL WORKER PORTAL - PollChief - Login,20,75,true,false,false,true,false,false,false,false,2022-03-31,2022-08-23,false,false
0,Alexa top domain list || page 866,https://sushila.co.in/domain-list-866,http://pollchief.com/,pollchief.com,1234,1239,true,false,false,true,false,false,false,false,2022-05-05,2022-07-22,false,false
0,Election Officer Portal,https://test-fairfax.plocation.net/ElectionOfficerApplication.aspx,http://www.pollchief.com/,,6,1,false,false,false,false,false,false,true,false,2022-03-08,2022-08-26,false,false
0,Election Officer Portal,https://test-fairfax.plocation.net/ElectionOfficerApplication.aspx?_escaped_fragment_=hash,http://www.pollchief.com/,,6,1,false,false,false,false,false,false,true,false,2022-03-06,2022-08-26,false,false
0,Election Officer Portal,https://test-fairfax.plocation.net/GetPassword.aspx,http://www.pollchief.com/,,2,2,false,false,false,false,false,false,true,false,2022-03-21,2022-09-10,false,false
0,Election Officer Portal,https://test-fairfax.plocation.net/Login.aspx,http://www.pollchief.com/,,4,2,false,false,false,false,false,false,true,false,2022-03-17,2022-09-06,false,false
0,Alexa top domain list || page 866,https://topdoma.in/domain-list-866,http://pollchief.com/,pollchief.com,1234,1239,true,false,false,true,false,false,false,false,2022-05-05,2022-07-22,false,false
0,Alexa top domain list || page 866,https://toplist.co.in/domain-list-866,http://pollchief.com/,pollchief.com,1234,1239,true,false,false,true,false,false,false,false,2022-05-07,2022-07-22,false,false
0,Home - a konnech shake to vote app,https://votedge.com/,http://pollchief.com/OnlineDemo.aspx,Demo,5,13,false,false,false,true,false,false,false,true,2022-03-25,2022-05-02,false,false
0,Alexa top domain list || page 866,https://www.3gp.co.in/domain-list-866,http://pollchief.com/,pollchief.com,1234,1239,true,false,false,true,false,false,false,false,2022-05-05,2022-07-22,false,false
0,Alexa top domain list || page 866,https://www.aadarsh.in/domain-list-866,http://pollchief.com/,pollchief.com,1234,1239,true,false,false,true,false,false,false,false,2022-05-05,2022-07-22,false,false
0,Alexa top domain list || page 866,https://www.again.co.in/domain-list-866,http://pollchief.com/,pollchief.com,1234,1239,true,false,false,true,false,false,false,false,2022-05-06,2022-07-21,false,false
0,Alexa top domain list || page 866,https://www.allreviews.in/domain-list-866,http://pollchief.com/,pollchief.com,1234,1239,true,false,false,true,false,false,false,false,2022-05-05,2022-08-20,false,true
0,Alexa top domain list || page 866,https://www.allwebsites.net/domain-list-866,http://pollchief.com/,pollchief.com,1234,1239,true,false,false,true,false,false,false,false,2022-05-06,2022-07-21,false,false
0,Alexa top domain list || page 866,https://www.anjana.co.in/domain-list-866,http://pollchief.com/,pollchief.com,1234,1239,true,false,false,true,false,false,false,false,2022-05-05,2022-07-21,false,false
0,Alexa top domain list || page 866,https://www.besafe.in/domain-list-866,http://pollchief.com/,pollchief.com,1234,1239,true,false,false,true,false,false,false,false,2022-05-07,2022-07-21,false,false
0,PollChief (@PollChief) | nitter,https://www.boxingnitter.moooi.jp/PollChief,http://www.pollchief.com/,pollchief.com,3,14,false,false,false,true,false,false,false,false,2022-08-21,2022-08-21,true,false
0,Alexa top domain list || page 866,https://www.cashbackdeals.in/domain-list-866,http://pollchief.com/,pollchief.com,1234,1239,true,false,false,true,false,false,false,false,2022-05-08,2022-07-22,false,false
0,2022 Election Calendar — Celebrate The Vote PA,https://www.celebratethevotepa.com/2022-election-calendar,https://alleghenypwp.pollchief.com/worker-portal/Application,Online Application for Poll Workers,6,21,false,false,false,true,false,false,false,false,2022-08-22,2022-09-03,true,false
0,Apply For Election Day Worker Construction,https://www.constructionz.info/apply-for-election-day-worker/,https://indy.pollchief.com/pollaccess/Application.aspx,Go Now,48,141,true,false,false,true,false,false,false,false,2022-03-07,2022-03-07,false,false
0,Alexa top domain list || page 866,https://www.cricketlive.co.in/domain-list-866,http://pollchief.com/,pollchief.com,1234,1239,true,false,false,true,false,false,false,false,2022-05-04,2022-07-20,false,false
0,Alexa top domain list || page 866,https://www.discussion.co.in/domain-list-866,http://pollchief.com/,pollchief.com,1234,1239,true,false,false,true,false,false,false,false,2022-05-05,2022-07-21,false,false
0,Resources - Democratic Committee of Dormont,https://www.dormontdems.com/resources,https://alleghenypwp.pollchief.com/worker-portal/Application,Apply to Be a Poll Worker,18,9,false,false,false,true,false,false,false,false,2022-09-03,2022-09-05,true,false
0,Marion County Elections University,https://www.education-university.com/marion-county-elections/,https://indy.pollchief.com/pollaccess/Application.aspx,Go Now,46,124,true,false,false,true,false,false,false,false,2021-11-03,2022-04-20,false,true
0,Indianapolis Voter Registration Manual,https://www.find-guide.info/indianapolis-voter-registration/,https://indy.pollchief.com/pollaccess/Application.aspx,Go Now,34,101,true,false,false,true,false,false,false,false,2022-04-02,2022-04-02,false,false
0,Marion County School Board Portal Online,https://www.find-online-now.com/marion-county-school-board-portal/,https://indy.pollchief.com/pollaccess/Application.aspx,Go Now,39,114,true,false,false,true,false,false,false,false,2021-10-30,2022-04-05,false,true
0,Marion County Voter Portal Online,https://www.find-online-now.com/marion-county-voter-portal/,https://indy.pollchief.com/pollaccess/Application.aspx,Go Now,33,100,true,false,false,true,false,false,false,false,2022-04-14,2022-04-14,false,false
0,Precincts Marion County Indiana Online,https://www.find-online-now.com/precincts-marion-county-indiana/,https://indy.pollchief.com/pollaccess/Application.aspx,Go Now,42,120,true,false,false,true,false,false,false,false,2021-10-28,2022-03-26,false,true
0,Indianapolis Polling Hours Game,https://www.gamesz.net/indianapolis-polling-hours/,https://indy.pollchief.com/pollaccess/Application.aspx,Go Now,33,99,true,false,false,true,false,false,false,false,2022-04-14,2022-04-14,false,false
0,Alexa top domain list || page 866,https://www.hansika.co.in/domain-list-866,http://pollchief.com/,pollchief.com,1234,1239,true,false,false,true,false,false,false,false,2022-05-07,2022-07-22,false,false
0,Alexa top domain list || page 866,https://www.income.net.in/domain-list-866,http://pollchief.com/,pollchief.com,1234,1239,true,false,false,true,false,false,false,false,2022-05-06,2022-07-21,false,false
0,Alexa top domain list || page 866,https://www.janhit.in/domain-list-866,http://pollchief.com/,pollchief.com,1234,1239,true,false,false,true,false,false,false,false,2022-05-04,2022-07-22,false,false
0,Alexa top domain list || page 866,https://www.july.co.in/domain-list-866,http://pollchief.com/,pollchief.com,1234,1239,true,false,false,true,false,false,false,false,2022-05-04,2022-07-21,false,false
0,Alexa top domain list || page 866,https://www.ketaki.co.in/domain-list-866,http://pollchief.com/,pollchief.com,1234,1239,true,false,false,true,false,false,false,false,2022-05-07,2022-07-22,false,false
0,Alexa top domain list || page 866,https://www.linkdonation.com/domain-list-866,http://pollchief.com/,pollchief.com,1234,1239,true,false,false,true,false,false,false,false,2022-05-04,2022-07-21,false,false
0,Alexa top domain list || page 866,https://www.list.net.in/domain-list-866,http://pollchief.com/,pollchief.com,1234,1239,true,false,false,true,false,false,false,false,2022-05-06,2022-07-22,false,false
0,Alexa top domain list || page 866,https://www.major.co.in/domain-list-866,http://pollchief.com/,pollchief.com,1234,1239,true,false,false,true,false,false,false,false,2022-05-05,2022-07-21,false,false
0,Election Management System Software,https://www.management-now.com/election-management-system-software/,http://pollchief.com/,Go Now,38,111,true,false,false,true,false,false,false,false,2021-12-06,2022-05-24,false,true
0,Election Management System Software,https://www.management-now.com/election-management-system-software/,http://pollchief.com/PollWorker.html,Go Now,38,111,true,false,false,true,false,false,false,false,2021-12-06,2022-05-24,false,true
0,Alexa top domain list || page 866,https://www.mandakini.co.in/domain-list-866,http://pollchief.com/,pollchief.com,1234,1239,true,false,false,true,false,false,false,false,2022-05-05,2022-07-22,false,false
0,Voter Information - MERIDIAN-KESSLER NEIGHBORHOOD ASSOCIATION,https://www.mkna.org/2020/08/03/voter-information/,https://indy.pollchief.com/pollaccess/Application.aspx,Complete the online application here!,38,71,false,false,false,true,false,false,false,false,2022-03-22,2022-09-06,false,false
0,Alexa top domain list || page 866,https://www.muchmore.in/domain-list-866,http://pollchief.com/,pollchief.com,1234,1239,true,false,false,true,false,false,false,false,2022-05-05,2022-07-22,false,false
0,Alexa top domain list || page 866,https://www.mymusic.co.in/domain-list-866,http://pollchief.com/,pollchief.com,1234,1239,true,false,false,true,false,false,false,false,2022-07-22,2022-07-22,false,false
0,Alexa top domain list || page 866,https://www.newfilms.in/domain-list-866,http://pollchief.com/,pollchief.com,1234,1239,true,false,false,true,false,false,false,false,2022-05-04,2022-07-22,false,false
0,Alexa top domain list || page 866,https://www.officialwebsites.in/domain-list-866,http://pollchief.com/,pollchief.com,1234,1239,true,false,false,true,false,false,false,false,2022-05-04,2022-07-22,false,false
0,Alexa top domain list || page 866,https://www.one.net.in/domain-list-866,http://pollchief.com/,pollchief.com,1234,1239,true,false,false,true,false,false,false,false,2022-05-08,2022-07-20,false,false
0,Alexa top domain list || page 866,https://www.onemanarmy.in/domain-list-866,http://pollchief.com/,pollchief.com,1234,1239,true,false,false,true,false,false,false,false,2022-05-05,2022-07-22,false,false
0,Alexa top domain list || page 866,https://www.onlinefestival.in/domain-list-866,http://pollchief.com/,pollchief.com,1234,1239,true,false,false,true,false,false,false,false,2022-05-04,2022-07-22,false,false
0,Alexa top domain list || page 866,https://www.onlinenewspaper.in/domain-list-866,http://pollchief.com/,pollchief.com,1234,1239,true,false,false,true,false,false,false,false,2022-05-06,2022-06-02,false,false
0,Alexa top domain list || page 866,https://www.punecolleges.in/domain-list-866,http://pollchief.com/,pollchief.com,1234,1239,true,false,false,true,false,false,false,false,2022-05-06,2022-07-21,false,false
0,www.qanon.news : NewsGrinder [08/14/2022],https://www.qanon.news/20220814,https://www.pollchief.com/About%20us.html,,587,144,false,false,false,true,false,false,false,false,2022-09-02,2022-09-02,true,false
0,www.qanon.news : NewsGrinder [08/14/2022],https://www.qanon.news/20220814?d1=0&i=0,https://www.pollchief.com/About%20us.html,,587,144,false,false,false,true,false,false,false,false,2022-08-23,2022-09-03,true,false
0,www.qanon.news : NewsGrinder [08/14/2022],https://www.qanon.news/20220814?d1=0&i=1,https://www.pollchief.com/About%20us.html,,587,144,false,false,false,true,false,false,false,false,2022-08-20,2022-08-31,true,false
0,www.qanon.news : NewsGrinder [08/14/2022],https://www.qanon.news/20220814?d1=1&i=0,https://www.pollchief.com/About%20us.html,,587,144,false,false,false,true,false,false,false,false,2022-08-21,2022-09-01,true,false
0,www.qanon.news : NewsGrinder [08/14/2022],https://www.qanon.news/20220814?d1=1&i=1,https://www.pollchief.com/About%20us.html,,587,144,false,false,false,true,false,false,false,false,2022-08-21,2022-09-02,true,false
0,www.qanon.news : NewsGrinder [08/22/2022],https://www.qanon.news/20220822,http://www.pollchief.com/ABVote.html,,581,157,false,false,false,true,false,false,false,false,2022-09-05,2022-09-05,true,false
0,www.qanon.news : NewsGrinder [08/22/2022],https://www.qanon.news/20220822?d1=0&i=0,http://www.pollchief.com/ABVote.html,,581,157,false,false,false,true,false,false,false,false,2022-08-24,2022-09-04,true,false
0,www.qanon.news : NewsGrinder [08/22/2022],https://www.qanon.news/20220822?d1=0&i=1,http://www.pollchief.com/ABVote.html,,581,157,false,false,false,true,false,false,false,false,2022-08-26,2022-09-07,true,false
0,www.qanon.news : NewsGrinder [08/22/2022],https://www.qanon.news/20220822?d1=1&i=0,http://www.pollchief.com/ABVote.html,,581,157,false,false,false,true,false,false,false,false,2022-08-23,2022-09-04,true,false
0,www.qanon.news : NewsGrinder [08/22/2022],https://www.qanon.news/20220822?d1=1&i=1,http://www.pollchief.com/ABVote.html,,581,157,false,false,false,true,false,false,false,false,2022-08-23,2022-09-03,true,false
0,www.qanon.news : NewsGrinder [08/22/2022],https://www.qanon.news/C?https%3A%2F%2Fusni.org%2Fpress%2Fbooks%2Fcats-navy,http://www.pollchief.com/ABVote.html,,417,4,false,false,false,true,false,false,false,false,2022-08-22,2022-08-22,true,false
0,www.qanon.news : NewsGrinder [08/22/2022],https://www.qanon.news/Vaccinations?d1=0&i=0,http://www.pollchief.com/ABVote.html,,417,4,false,false,false,true,false,false,false,false,2022-08-22,2022-08-22,true,false
0,Apply For Election Day Worker Questions,https://www.questions-and-answers.info/apply-for-election-day-worker/,https://indy.pollchief.com/pollaccess/Application.aspx,Go Now,38,111,true,false,false,true,false,false,false,false,2022-04-17,2022-04-17,false,false
0,Alexa top domain list || page 866,https://www.region.co.in/domain-list-866,http://pollchief.com/,pollchief.com,1234,1239,true,false,false,true,false,false,false,false,2022-05-07,2022-07-21,false,false
